brewery,longitude,latitude,labelname,n
Alphabet Brewing Company,-2.222189,53.475340,ABC,1
Beatnikz Republic Brewery,-2.239061,53.490073,BTNKZ Brewery,2
Beatnikz Republic Bar,-2.233020,53.481088,BTNKZ Bar,3
Beer Nouveau,-2.218328,53.473590,BN,4
BrewDog,-2.247293,53.478041,BD,5
BrewDog Outpost,-2.235042,53.467787,BDO,6
Cloudwater,-2.221896,53.478014,CW,7
Gaslamp (Pomona Island),-2.249550,53.481047,Gaslamp,8
Gasworks,-2.246449,53.473470,Gasworks,9
Knott (Wander Beyond),-2.252010,53.474386,Knott,10
Manchester Union,-2.221608,53.475115,M Union,11
Marble Arch,-2.2322413,53.488175,MA,12
Northern Monk Refectory,-2.232321,53.481272,N Monk,13
Ol,-2.238366,53.4718000,Ol,14
Piccadilly Station,-2.231330,53.477786,Picc,15
Runaway,-2.236943,53.489990,Runaway,16
Seven Bro7hers,-2.229362,53.484417,7 Bros,17
Smithfield Market Tavern/Jack in the Box,-2.234528,53.485473,Smithfield,18
Thomas St Beerhouse,-2.236345,53.483862, Thomas St,19
Track/Squawk,-2.226339,53.478628,Track/Squawk,20